sppname,spp.codes,Spp.symbol,SciName,n.orig,n.revis,LCI,mean,UCI
Pacific silver fir,11,ABAM,Abies amabilis,1142,1171,-0.0396462079829667,-0.0040028570293313415,0.03393252853356087
white fir,15,ABCO,Abies concolor,1992,1954,-0.07431329403591258,-0.03260081860190134,0.010283381388871774
grand fir,17,ABGR,Abies grandis,1737,1754,-0.04179157936973949,-0.0021076187467703456,0.037656546576869766
subalpine fir,19,ABLA,Abies lasiocarpa,758,723,-0.03100546804009583,0.02139198489458627,0.07866147455536364
California red fir,20,ABMA,Abies magnifica,577,582,-0.04788407713354797,-0.008925967211195651,0.033802666784939456
noble fir,22,ABPR,Abies procera,386,423,-0.028888157977274998,0.04078376927622118,0.11694581778472177
Port Orford cedar,41,CHLA,Chamaecyparis lawsoniana,83,81,-0.09568257601572396,-0.029292983378732096,0.03494531907652011
Alaska yellow cedar,42,CHNO,Chamaecyparis nootkatensis,106,116,-0.08654491076691338,0.07919607288839003,0.26260555288472887
California juniper,62,JUCA7,Juniperus californica,64,65,0,0.06709724699519448,0.19482012342590974
western juniper,64,JUOC,Juniperus occidentalis,1020,1013,-0.020722095693991038,0.00686823431485406,0.03660211023885956
western larch,73,LAOC,Larix occidentalis,1057,1056,-0.027419436130719354,-0.0015439352827302244,0.023144540075156216
incense cedar,81,CADE27,Calocedrus decurrens,1326,1302,-0.07802459758019546,-0.018862395203872673,0.04212357880256185
Engelmann spruce,93,PIEN,Picea engelmannii,745,704,0.013967436558482737,0.05863840803472664,0.10411596081003434
Sitka spruce,98,PISI,Picea sitchensis,266,261,-0.07598300485558869,-0.008899683989676,0.05249475614488878
whitebark pine,101,PIAL,Pinus albicaulis,198,181,-0.07669594020144092,0.05507954033385909,0.20580146936273644
knobcone pine,103,PIAT,Pinus attenuata,83,77,-0.3119636356256356,0.026237941958083155,0.3951225326445071
lodgepole pine,108,PICO,Pinus contorta,2252,2193,0.007117256154762797,0.03813120315686991,0.07152737588251445
