SppNames,spp.codes,Spp.symbol,SciName,n.lt,n.gt,temactmean,temSE,LCI,UCI
Pacific silver fir,11,ABAM,Abies amabilis,365,494,0.015312380389497338,0.03298587783580107,-0.049339940168672755,0.07996470094766743
white fir,15,ABCO,Abies concolor,751,721,-0.22846254182003456,0.07279718840374186,-0.3711450310913686,-0.08578005254870052
grand fir,17,ABGR,Abies grandis,544,693,0.07588912451038765,0.04594934199292509,-0.014171585795745512,0.1659498348165208
subalpine fir,19,ABLA,Abies lasiocarpa,319,266,-0.08302662174963249,0.07321980130759821,-0.226537432312525,0.06048418881326001
California red fir,20,ABMA,Abies magnifica,199,165,-0.3568476813647048,0.1538993806370402,-0.6584904674133036,-0.055204895316106006
noble fir,22,ABPR,Abies procera,83,151,-0.07359752024754318,0.07022778497928228,-0.21124397880693646,0.0640489383118501
western juniper,64,JUOC,Juniperus occidentalis,130,295,-0.03701596825121123,0.06634608392604438,-0.16705429274625822,0.09302235624383576
western larch,73,LAOC,Larix occidentalis,277,207,0.04297826718224118,0.0647027467971447,-0.08383911654016243,0.1697956509046448
incense cedar,81,CADE27,Calocedrus decurrens,308,360,-0.44519821150747063,0.11789263384185864,-0.6762677738375136,-0.21412864917742772
Engelmann spruce,93,PIEN,Picea engelmannii,220,214,0.07769569882809502,0.07676315186746889,-0.072760078832144,0.22815147648833403
Sitka spruce,98,PISI,Picea sitchensis,92,62,0.0324235053213614,0.03230686779403892,-0.03089795555495488,0.09574496619767768
lodgepole pine,108,PICO,Pinus contorta,884,868,-0.05439668170985934,0.04466254238148339,-0.1419352647775668,0.033141901357848114
Jeffrey pine,116,PIJE,Pinus jeffreyi,144,154,0.009522241269802834,0.10917837540474822,-0.20446737452350366,0.22351185706310933
sugar pine,117,PILA,Pinus lambertiana,226,121,-0.04747864031568927,0.19325412688830135,-0.42625672901675993,0.3312994483853814
western white pine,119,PIMO3,Pinus monticola,158,144,-0.27453381613990246,0.11237059521179907,-0.49478018275502866,-0.05428744952477629
ponderosa pine,122,PIPO,Pinus ponderosa,1235,1425,-0.14896241206015448,0.054606699013077666,-0.2559915421257867,-0.04193328199452226
Douglas fir,202,PSME,Pseudotsuga menziesii,2672,2731,0.11044161238428041,0.03278743323786034,0.04617824323807414,0.1747049815304867
western redcedar,242,THPL,Thuja plicata,219,473,0.06904876900066947,0.04047601471919062,-0.010284219848944148,0.1483817578502831
western hemlock,263,TSHE,Tsuga heterophylla,823,1119,-0.0044270727505354435,0.022109450091889252,-0.047761594930638376,0.03890744942956749
mountain hemlock,264,TSME,Tsuga mertensiana,183,246,0.03626737868351659,0.06696675612466263,-0.09498746332082217,0.16752222068785536
bigleaf maple,312,ACMA3,Acer macrophyllum,235,297,-0.39065303559511966,0.11343378246669537,-0.6129832492298426,-0.16832282196039672
red alder,351,ALRU2,Alnus rubra,663,458,-0.07035116883551729,0.027914999867761362,-0.12506456857632955,-0.015637769094705017
Pacific madrone,361,ARME,Arbutus menziesii,313,157,0.3062432948364815,0.10533940279975618,0.09977806534895939,0.5127085243240036
golden chinkapin,431,CHCHC4,Chrysolepis chrysophylla,120,108,-0.10436741882818534,0.11588571461763678,-0.3315034194787534,0.12276858182238273
tanoak,631,NODE3,Notholithocarpus densiflorus,279,258,-0.06027212713244312,0.08448662641253889,-0.22586591490101934,0.1053216606361331
bitter cherry,768,PREM,Prunus emarginata,59,102,0.030532280099804354,0.0691765773840528,-0.10505381157293914,0.16611837177254785
canyon live oak,805,QUCH2,Quercus chrysolepis,225,283,-0.08959104657872752,0.1404693455388728,-0.3649109638349182,0.1857288706774632
blue oak,807,QUDO,Quercus douglasii,68,60,0.5921133502802531,0.2016969436352679,0.19678734075512805,0.9874393598053782
Oregon white oak,815,QUGA4,Quercus garryana,89,107,0.2586517921159335,0.1539811827528522,-0.04315132607965683,0.5604549103115237
California black oak,818,QUKE,Quercus kelloggii,326,171,-0.15383744079997053,0.1218231825041546,-0.3926108785081135,0.08493599690817247
interior live oak,839,QUWI2,Quercus wislizeni,85,68,-0.0711499125037447,0.19326689660635304,-0.44995302985219665,0.30765320484470726
